Time,Time Code,Country Name,Country Code,Urban population growth (annual %) [SP.URB.GROW],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS]
1990,YR1990,Australia,AUS,1.44494161541517,1.68618220568608,24.9117049977396,1.18927836382777,3.61308461086515
1990,YR1990,United Arab Emirates,ARE,5.68572314501225,6.5637946324908,31.4695943247,35.3156119922356,0
1990,YR1990,United States,USA,1.41025628541903,0.279027731366681,8.55771193530894,0.703237008212799,1.43282836203181
1990,YR1990,United Kingdom,GBR,0.234964714351841,0.52791575535804,15.1886971628093,0.882565641379211,0.147102899215657
1990,YR1990,India,IND,3.09292950298242,1.81663032375431,5.55598538617853,1.72936446209105,42.6257957592865
1990,YR1990,Canada,CAN,1.53377878295106,1.42229632413233,17.9519020342276,1.48748684267335,4.80345122729629
1990,YR1990,Afghanistan,AFG,0.623574329460614,0.0895897841415977,68.4075719356404,..,..
2000,YR2000,Australia,AUS,0.984333804176905,2.00449521245382,23.5805414354101,0.876745345389259,3.89439259159435
2000,YR2000,United Arab Emirates,ARE,6.11272936104507,3.44787773654468,34.5118866238761,20.8440561536495,0.0536764702150155
2000,YR2000,United States,USA,1.51201139138713,-0.380113564334052,7.98558296300756,0.307551276869583,2.17934451973153
2000,YR2000,United Kingdom,GBR,0.433615661051976,0.0766541100949437,15.7014022005524,0.899607457881131,0.241639410227969
2000,YR2000,India,IND,2.59867555250261,1.52676689585465,5.50758617604697,1.19880896935781,32.7662807986021
2000,YR2000,Canada,CAN,1.40422595439655,-0.87952749546395,18.8907072393913,1.47117947256471,4.84123500806882
2000,YR2000,Afghanistan,AFG,1.86137729962901,1.32580608474027,55.6495005446497,..,..
2001,YR2001,Australia,AUS,1.12357871219199,2.13662257997313,23.2009341873892,0.720452604163645,3.97444262852718
2001,YR2001,United Arab Emirates,ARE,5.83791948495437,3.17429536086827,34.8073911434492,15.8062390008792,0.0420873578332831
2001,YR2001,United States,USA,1.21338042170418,0.140997827475435,7.91335127093925,0.16943295765488,1.91978657231308
2001,YR2001,United Kingdom,GBR,0.512040255282785,-0.0845344975975772,15.727704683434,0.623069756321262,0.202872083604475
2001,YR2001,India,IND,2.71157391943668,1.46083674520266,5.47640272390102,0.869871197224191,32.6835970598814
2001,YR2001,Canada,CAN,1.50320904037894,-0.544663534438589,18.9576917673805,0.858857509112782,4.5155711801249
2001,YR2001,Afghanistan,AFG,1.15383861520503,0.625666867583049,57.470961261903,..,..
2002,YR2002,Australia,AUS,1.28249760868533,0.367291657079596,23.0768434331007,0.803940893602656,4.07645612942011
2002,YR2002,United Arab Emirates,ARE,5.57440090696271,2.91207186688444,35.2012682915237,14.6453240587361,0.0424321794213108
2002,YR2002,United States,USA,1.14841884658312,0.0815023117954436,7.84690159544018,0.172817088546724,1.71855643791155
2002,YR2002,United Kingdom,GBR,0.798501015283694,-0.979464266930196,15.6970157391823,0.59707481885464,0.220523018321141
2002,YR2002,India,IND,2.93770825491266,1.32347936158798,5.46590140049306,0.898515923740017,32.1087828331246
2002,YR2002,Canada,CAN,1.18513220773898,0.700370293632275,19.0664169554551,0.955943439201293,4.94417697481357
2002,YR2002,Afghanistan,AFG,6.86345297807244,6.33104778193872,56.061573516423,0.030789275783499,..
2003,YR2003,Australia,AUS,1.29375488089444,0.380360733277739,22.95083268197,0.757626170343175,3.04631919783673
2003,YR2003,United Arab Emirates,ARE,5.32767996564432,2.66703509354355,35.6875754774553,17.8057010079321,0.0431294120184083
2003,YR2003,United States,USA,1.07836038438036,0.010863083289361,7.78646311989111,0.211788525599514,2.00831136290739
2003,YR2003,United Kingdom,GBR,0.834359753141167,-0.937751105586103,15.6607677521017,0.559752287291694,0.234885838973538
2003,YR2003,India,IND,2.87888612843243,1.26611650860371,5.48614965611523,0.860363359311968,31.7235655841834
2003,YR2003,Canada,CAN,1.00021247806731,0.507798298385495,19.2112557390343,1.12578576172741,4.61576242902846
2003,YR2003,Afghanistan,AFG,7.95344768841497,7.42260371898086,54.0939052910527,0.0256328025661278,..
2004,YR2004,Australia,AUS,1.21137453896552,0.29980831311354,22.8445557154334,0.73789012235773,2.82799945435969
2004,YR2004,United Arab Emirates,ARE,5.09809234355025,2.43240442016155,36.2671045061352,20.9182068452778,0.0597620461308902
2004,YR2004,United States,USA,1.14388530085121,0.0695993923250513,7.72146140616646,0.283170634743015,2.11722114077011
2004,YR2004,United Kingdom,GBR,0.93379733417362,-0.84461331138541,15.6092071203912,0.575171956513235,0.251533986853619
2004,YR2004,India,IND,2.82462858995052,1.20833017897518,5.5097077427921,1.06043123794654,30.6103930198088
2004,YR2004,Canada,CAN,1.0305118096742,0.542909910771425,19.3518008853401,1.49755944499054,4.92194462434256
2004,YR2004,Afghanistan,AFG,4.58865325754718,3.74368031073764,53.4773996806143,0.0256051597697051,..
2005,YR2005,Australia,AUS,1.35808044012136,0.448435651179649,22.7049689153472,0.887355262985534,2.84867343044752
2005,YR2005,United Arab Emirates,ARE,7.43214450465337,4.77548320895744,35.9990970090555,23.9417369873026,0.0628231512897219
2005,YR2005,United States,USA,1.13588459113456,0.0733898148736528,7.65755087900806,0.350823193456479,2.3044470362687
2005,YR2005,United Kingdom,GBR,1.04513367651541,-0.72729480806256,15.5402432801217,0.720225579643724,0.320976014775925
2005,YR2005,India,IND,2.74625194074982,1.13606772155523,5.53720996875245,1.28780837185882,29.9252537840026
2005,YR2005,Canada,CAN,1.04061858829188,0.557844254173616,19.4904611459012,1.78498681477884,4.68805663294154
2005,YR2005,Afghanistan,AFG,4.47468958963317,3.31422737698589,52.4204210229638,0.0258476198749782,..
2006,YR2006,Australia,AUS,1.48886315447039,0.581168148375217,22.5375199861817,0.865992075121712,2.76565143381297
2006,YR2006,United Arab Emirates,ARE,13.9518324907705,11.2834069593892,33.7154053162251,25.8820272214672,0.0684728805140118
2006,YR2006,United States,USA,1.17796815968651,0.108670280303657,7.59100592610039,0.349464272960025,2.54138731845837
2006,YR2006,United Kingdom,GBR,1.08979547464129,-0.689030673720119,15.4648066219849,0.708171759768897,0.397113013243007
2006,YR2006,India,IND,2.66029713783098,1.05120593337957,5.5698841171692,1.33146821912931,28.8849012008044
2006,YR2006,Canada,CAN,1.12384675481251,0.551491248878675,19.61443779521,1.79784487204702,4.58729730548341
2006,YR2006,Afghanistan,AFG,5.03421600301046,3.87541461793337,51.0993674735747,0.0214070372585048,..
2007,YR2007,Australia,AUS,1.96893475127689,1.02439382002813,22.4596162909423,0.871982126285964,2.81485640586589
2007,YR2007,United Arab Emirates,ARE,18.5806846251198,15.9431761375319,30.3093816202997,23.7183455650517,0.0718927348509301
2007,YR2007,United States,USA,1.16306776101756,0.0931570901609545,7.52616020896818,0.356897499234572,2.5751109807492
